material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
mos2,4.12399,4.07528,-0.0487,284.961,285.0,0.06454,1
mos2,3.10238,3.15015,0.04777,283.26,285.0,0.12814,1
mos2,0.78994,0.83483,0.04488,282.832,285.0,0.03136,1
mos2,15.27193,15.49117,0.21923,283.058,285.0,0.56051,2
mos2,73.71632,72.28662,-1.4297,285.518,285.0,1.86816,2
mos2,52.70672,53.18943,0.48271,284.879,285.0,0.64413,4
mos2,0.63354,0.6277,-0.00584,285.533,285.0,0.02148,1
mos2,2.79713,2.90304,0.10591,283.921,285.0,0.15411,1
mos2,83.31315,83.21685,-0.0963,285.443,285.0,2.18145,4
mos2,1.33292,1.27907,-0.05385,285.546,285.0,0.04111,1
mos2,14.14701,14.14422,-0.00279,285.045,285.0,0.3474,2
mos2,6.35518,6.35232,-0.00286,285.199,285.0,0.09299,1
mos2,49.46704,105.26348,55.79644,290.177,285.0,4.013,4
mos2,99.4568,87.82149,-11.63531,287.094,285.0,3.96563,3
mos2,26.14701,27.76837,1.62136,283.246,285.0,2.12436,1
mos2,25.14569,23.94279,-1.20289,285.333,285.0,2.36933,1
mos2,95.93284,44.97701,-50.95583,279.333,285.0,0.75848,3
mos2,2.05188,2.11868,0.0668,283.084,285.0,0.13998,1
mos2,2.40599,2.17169,-0.2343,289.934,285.0,0.0868,1
mos2,73.8289,74.24844,0.41954,285.739,285.0,1.45686,3
mos2,30.66203,30.29648,-0.36555,284.916,285.0,1.24587,2
mos2,1.18537,1.16395,-0.02142,283.185,285.0,0.05468,1
mos2,87.40111,86.94427,-0.45684,285.105,285.0,3.01544,3
mos2,22.17837,20.95827,-1.22011,285.314,285.0,1.70916,1
mos2,2.59558,2.51398,-0.0816,286.363,285.0,0.11269,1
mos2,11.73595,11.63083,-0.10512,284.201,285.0,0.18482,2
hbn,2.29189,2.07479,-0.21709,284.982,285.0,0.11812,1
hbn,4.49222,4.3841,-0.10813,286.71,285.0,0.2485,1
hbn,7.73351,7.60792,-0.1256,285.021,285.0,0.47118,1
hbn,0.4034,0.33029,-0.07312,284.218,285.0,0.03003,1
hbn,2.96875,3.17931,0.21055,285.258,285.0,0.18136,1
hbn,27.20572,27.43413,0.22841,284.821,285.0,1.24602,2
hbn,2.85147,2.90136,0.0499,285.436,285.0,0.15653,1
hbn,0.57243,0.58932,0.01689,284.569,285.0,0.04133,1
hbn,8.33961,8.79546,0.45585,284.124,285.0,0.2494,1
hbn,1.15808,1.06084,-0.09724,281.377,285.0,0.0601,1
hbn,11.45927,12.37772,0.91845,282.892,285.0,0.7158,1
hbn,64.03091,63.60478,-0.42613,284.816,285.0,1.76681,2
hbn,67.44472,68.57841,1.13369,284.036,285.0,2.74097,1
hbn,0.87395,0.80149,-0.07246,284.478,285.0,0.05027,1
hbn,0.49417,0.46786,-0.0263,284.771,285.0,0.038,1
hbn,2.58172,2.56508,-0.01664,285.012,285.0,0.14094,1
hbn,1.24736,1.20951,-0.03785,286.384,285.0,0.06091,1
hbn,40.50153,41.34374,0.84221,285.349,285.0,1.94535,2
hbn,3.53811,3.39462,-0.14349,283.505,285.0,0.18928,1
hbn,77.332,75.83595,-1.49604,287.307,285.0,3.85508,2
hbn,14.59016,14.47622,-0.11393,284.773,285.0,0.40403,1
hbn,0.67043,0.63951,-0.03091,285.689,285.0,0.04556,1
hbn,2.0266,1.91745,-0.10915,284.191,285.0,0.11318,1
hbn,0.4498,0.44198,-0.00782,283.264,285.0,0.0268,1
hbn,0.57564,0.54746,-0.02818,282.487,285.0,0.03538,1
hbn,10.30294,10.19827,-0.10467,284.635,285.0,0.37492,1
hbn,5.20517,5.34384,0.13867,285.036,285.0,0.24034,1
hbn,0.47756,0.4939,0.01634,285.25,285.0,0.03523,1
hbn,46.17731,58.27064,12.09334,279.499,285.0,3.41018,1
hbn,0.49936,0.45313,-0.04623,283.878,285.0,0.03578,1
hbn,71.77169,64.42936,-7.34233,285.271,285.0,3.27319,1
hbn,3.30047,3.32671,0.02624,284.773,285.0,0.17505,1
hbn,0.86058,0.86387,0.00329,284.196,285.0,0.05788,1
hbn,92.88357,93.28508,0.40151,285.941,285.0,0.46065,2
hbn,5.49703,5.52111,0.02408,284.52,285.0,0.25244,1
hbn,0.64657,0.58641,-0.06016,285.305,285.0,0.04193,1
hbn,3.0139,3.06866,0.05477,285.277,285.0,0.16011,1
hbn,107.32114,107.41325,0.09211,284.531,285.0,0.80214,1
hbn,0.4076,0.4771,0.0695,286.846,285.0,0.03922,1
hbn,109.27876,106.38552,-2.89324,282.448,285.0,0.66226,1
hbn,92.38595,92.43416,0.0482,285.016,285.0,0.48652,2
hbn,34.23815,36.22793,1.98978,284.839,285.0,2.16016,1
hbn,3.64941,3.87668,0.22726,285.009,285.0,0.16363,1
hbn,3.58137,3.66005,0.07868,284.51,285.0,0.15723,1
hbn,1.95001,1.96675,0.01674,284.501,285.0,0.06831,1
hbn,0.50517,0.53064,0.02547,285.673,285.0,0.02783,1
hbn,72.78332,67.10647,-5.67685,285.649,285.0,3.4171,1
hbn,0.54266,0.52802,-0.01464,285.604,285.0,0.03847,1
hbn,9.84322,10.31593,0.47271,286.53,285.0,0.34807,1
hbn,3.06725,2.81387,-0.25338,283.174,285.0,0.16117,1
hbn,5.75739,5.64057,-0.11681,284.396,285.0,0.24663,1
hbn,0.71855,0.72034,0.00179,286.063,285.0,0.04776,1
hbn,0.61489,0.59462,-0.02027,283.381,285.0,0.03802,1
hbn,73.17537,71.41015,-1.76522,284.858,285.0,5.16582,1
hbn,17.2105,18.09662,0.88612,283.83,285.0,0.47986,1
hbn,8.70204,8.83104,0.129,285.979,285.0,0.25585,1
hbn,21.53973,23.18096,1.64123,284.718,285.0,0.85901,1
hbn,0.39928,0.37997,-0.01931,284.209,285.0,0.03133,1
hbn,23.75481,23.40653,-0.34828,287.777,285.0,0.72388,1
hbn,1.2789,1.29105,0.01216,284.076,285.0,0.05046,1
hbn,60.83809,58.84754,-1.99055,285.699,285.0,2.0071,2
hbn,1.53277,1.60781,0.07504,285.529,285.0,0.10342,1
hbn,0.94527,0.9624,0.01713,284.75,285.0,0.03922,1
hbn,29.23622,31.70049,2.46427,283.457,285.0,1.5163,2
hbn,18.34635,17.64887,-0.69748,288.084,285.0,0.46557,1
hbn,7.74015,7.74676,0.00661,284.774,285.0,0.26015,1
hbn,2.36868,2.23514,-0.13354,283.807,285.0,0.1258,1
hbn,13.36129,13.54945,0.18816,285.238,285.0,0.37172,1
hbn,72.68594,78.01619,5.33025,282.66,285.0,5.68183,2
hbn,32.49355,36.11751,3.62396,282.958,285.0,1.93443,1
hbn,13.49732,13.39664,-0.10067,284.665,285.0,0.37434,1
hbn,3.54474,3.72536,0.18061,285.688,285.0,0.14706,1
hbn,1.33648,1.25951,-0.07698,284.225,285.0,0.07317,1
hbn,73.87701,74.75685,0.87984,284.998,285.0,5.67704,2
hbn,9.95756,10.50735,0.5498,287.492,285.0,0.33426,1
